"id","trial_no","item_type","source","recog","rt_recog","assign","rt_assign","word","study_pos","age","gender","occupation","strategy1","strategy2"
1,1,"R item","top","old",3.84990469735749,"B",2.16175479938829,"Mädchen",70,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,2,"distractor","nosou","new",2.52875161333395,"N",-66,"Sturm",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,3,"distractor","nosou","new",1.74147178787462,"N",-66,"Lerche",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,4,"distractor","nosou","new",0.860271475094123,"N",-66,"Auspuff",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,5,"distractor","nosou","new",1.06948928778547,"N",-66,"Brett",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,6,"distractor","nosou","new",1.0544066087441,"N",-66,"Buch",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,7,"R item","bottom","old",1.03698300470387,"B",1.49379076413607,"Abgrund",14,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,8,"distractor","nosou","new",7.93739687171092,"N",-66,"Schlamm",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,9,"distractor","nosou","new",0.685510306059768,"N",-66,"Auto",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,10,"distractor","nosou","new",0.612503476926577,"N",-66,"Pfarrer",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,11,"distractor","nosou","new",1.26732493729287,"N",-66,"Nektar",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,12,"F item","bottom","old",2.1913421057161,"B",1.13284359617955,"Sumpf",76,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,13,"R item","bottom","old",2.057321482931,"T",0.845767668321969,"Panzer",53,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,14,"distractor","nosou","new",2.16924116450537,"N",-66,"Heer",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,15,"R item","top","old",0.932627637028418,"B",0.958018016835012,"Junge",68,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,16,"F item","bottom","old",1.5858925832963,"T",0.725912800749029,"Dichter",47,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,17,"R item","top","new",4.13961570430001,"N",-66,"Blase",19,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,18,"F item","top","old",1.41924670297249,"T",1.25359856705563,"Fluss",21,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,19,"distractor","nosou","new",4.04171121371201,"N",-66,"Zucker",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,20,"distractor","nosou","new",1.0352742853529,"N",-66,"Lawine",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,21,"distractor","nosou","new",1.08574735240836,"N",-66,"Hafer",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,22,"F item","bottom","old",1.26831242528169,"B",1.09388397446946,"Ofen",51,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,23,"F item","bottom","old",6.06607882344997,"T",0.469934744562124,"Metall",74,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,24,"distractor","nosou","new",2.44254928619375,"N",-66,"Bankier",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,25,"F item","bottom","old",2.9405418999313,"T",0.828582833708424,"Kugel",41,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,26,"distractor","nosou","old",1.52217109511548,"T",5.70162190902374,"Garten",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,27,"distractor","nosou","new",2.46582110016061,"N",-66,"Doktor",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,28,"distractor","nosou","new",2.18878292412955,"N",-66,"Insekt",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,29,"R item","bottom","old",1.00601887673383,"T",1.06908887720147,"Feuer",7,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,30,"distractor","nosou","new",7.27438586616245,"N",-66,"Kaffee",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,31,"F item","bottom","new",0.85987393630694,"N",-66,"Yacht",17,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,32,"R item","bottom","old",1.03382115595559,"T",0.916776957355069,"Körper",16,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,33,"R item","top","old",2.49587774020802,"B",0.669404036433662,"Vulkan",43,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,34,"distractor","nosou","new",1.72267218270463,"N",-66,"Orkan",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,35,"F item","bottom","new",3.19798416244794,"N",-66,"Brief",49,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,36,"distractor","nosou","new",2.20539463006753,"N",-66,"Frosch",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,37,"R item","bottom","old",1.38178287735991,"B",0.821063237795897,"Dampf",50,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,38,"distractor","nosou","new",1.41868301020168,"N",-66,"Nonne",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,39,"distractor","nosou","new",1.50854359675395,"N",-66,"Ecke",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,40,"R item","top","old",1.56622856716149,"T",1.17346229617397,"Mord",64,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,41,"R item","top","old",1.02592371357787,"B",0.886155804025293,"Elefant",15,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,42,"distractor","nosou","new",1.31967656999041,"N",-66,"Sklave",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,43,"F item","bottom","new",2.45995114662674,"N",-66,"Schüler",80,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,44,"distractor","nosou","new",3.50984000807421,"N",-66,"Kinn",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,45,"distractor","nosou","new",1.38250533949213,"N",-66,"Stern",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,46,"distractor","nosou","new",1.17336875763522,"N",-66,"Pudding",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,47,"distractor","nosou","new",1.33396170991728,"N",-66,"Palast",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,48,"F item","top","new",1.23754152823949,"N",-66,"Neffe",39,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,49,"distractor","nosou","new",1.36600768493008,"N",-66,"Schaum",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,50,"distractor","nosou","new",1.19829021398164,"N",-66,"Sessel",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,51,"distractor","nosou","new",1.60474839363997,"N",-66,"Wald",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,52,"distractor","nosou","new",1.99044019728353,"N",-66,"Erde",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,53,"F item","top","new",1.28703654320907,"N",-66,"Kalk",33,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,54,"distractor","nosou","new",1.54039346904028,"N",-66,"Winter",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,55,"R item","top","old",1.40554084557152,"T",0.958130016927498,"Wasser",26,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,56,"R item","bottom","old",1.49108553114729,"B",0.342253409028672,"Moor",42,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,57,"R item","top","old",2.23472634644259,"T",0.43018742989716,"Küche",78,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,58,"distractor","nosou","new",1.54710444890588,"N",-66,"Hektar",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,59,"distractor","nosou","new",1.28601131159849,"N",-66,"Salat",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
1,60,"distractor","nosou","new",1.69406580025952,"N",-66,"Fabrik",-95,18,"w",2,1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
