"id","strategy2"
101,"ich habe die EEE wörter in meinem Kopf wiederholt"
102,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
103,"Ich habe versucht die *EEE*-Wörter in eine Geschichte oder bzw. in einzelne Bilder einzufügen"
105,"Ich habe versucht, die Wörter in einen zu mir passenden Kontext einzubauen"
106,"Wortgruppen gebildet (Gras, Raupe, Hektar, Gemüse), zusammenhängende Wörter (Zahn - Körper, Winter - Garten)"
107,"eine geschichte mit der EEE wörter ausgedacht"
108,"Ich habe mir eine Geschichte mit den EEE Wörtern ausgedacht"
109,"Ich habe mir blockweise eine Geschichte mit zusammenpassenden Wörtern ausgedacht. Bei VVV habe ich die Wörter einfach ignoriert."
110,"Name vergessen, aber jene Strategie, wo man bildlich einen Weg (hier habe ich ein Szenario) mit allen Begriffen sich vorstellt."
111,"Ich habe versucht, die EEE Wörter nacheinander mir im Kopf aufzusagen. Dies hat allerdings nach einer Zeit nicht mehr bei der Bandbreite an Begriffen funktioniert. Zudem habe ich mir bildlich Eselsbrücken vorgestellt, um Begriffe miteinander in einem Szenario zu verbinden"
112,"Manche Wörter können einen Zusammenhang bilden"
113,"Ich habe das Wort nur kurz angeschaut und sobald EEE kam das Wort und die letzten 3-4 EEE Wörter im Kopf ständig wiederholt"
114,"Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln."
115,"Aus den Wörtern habe ich eine Geschichte gesponnen. Auf Grund ihrer Absurdität war sie leicht zu merken. z.B: Der Koala und seine Ehefrau verlieren im Sturm ihren Zahn, der im Auspuff landet."
116,"so schnell wie möglich die wörter wiederholen, die man erinnern sollte"
118,"Ich habe versucht die Wörter zusammenzufügen um ein neues evtl auch sinnloses Wort zu erschaffen. BZW habe ich auch teilweise Geschichten erfunden."
119,"Ich habe mir kurze Geschichten überlegt bzw. versucht, die aufeinanderfolgenden Wörter, die ich mir merken musste, zu kleinen, abstrakten Geschichten zu verknüpfen."
121,"Ich habe bei den VVV-Wörtern meine Aufmerksamkeit schnell abgelenkt."
122,"Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt"
123,"am Anfang habe ich versucht mir eine Geschichte zu überlegen und ähnliche Wortbedeutungen zu finden; nahcdem es zu viele Wörter wurden, habe ich die EEE Wörter immer wieder wiederholt"
124,"Ich habe mir versucht eine Geschichte zu den EEE Wörtern auszudenken, also die Wörter miteinander zu verknüpfen. Die VVV Wörter habe ich nicht in die Geschichte miteingebaut."
125,"Ich habe versucht, die zu erinnernden Wörter in einen Zusammenhang zu bringen (beispielsweise durch eine ausgedachte Geschichte), und immerwieder zu wiederholen"
