subj_id	trial_no	item_type	source	moni_response	rt_moni	word	study_pos
160	1	*nnn*	nosou	N	3.363401200000226	Stern	-95
160	2	*nnn*	nosou	R	3.179014900000766	Räuber	-95
160	3	*VVV*	left	N	2.1953928000002634	Palast	59
160	4	*nnn*	nosou	L	1.9490521000006993	Hose	-95
160	5	*EEE*	left	L	2.7168204999979935	Fenster	26
160	6	*VVV*	left	L	1.95676999999705	Altar	78
160	7	*nnn*	nosou	N	1.7816009000016493	Hektar	-95
160	8	*EEE*	left	R	1.4365517000005639	Klippe	24
160	9	*EEE*	left	R	2.619988700000249	Eisen	74
160	10	*nnn*	nosou	N	3.603682500001014	Mord	-95
160	11	*nnn*	nosou	N	2.301616099997773	Halle	-95
160	12	*VVV*	left	L	1.580528399998002	Küste	58
160	13	*VVV*	right	N	3.5980802999984007	Heer	52
160	14	*VVV*	left	L	1.140489700002945	Brett	16
160	15	*EEE*	right	R	2.3412796999982675	Felsen	4
160	16	*VVV*	right	N	2.181753100001515	Blase	54
160	17	*nnn*	nosou	N	1.5629528999998001	Vogel	-95
160	18	*EEE*	left	L	0.893505299998651	Vulkan	35
160	19	*EEE*	left	R	2.0200516000004427	Gabel	67
160	20	*nnn*	nosou	N	0.9962907000008272	Mädchen	-95
160	21	*nnn*	nosou	R	1.4119102000004204	Pfarrer	-95
160	22	*nnn*	nosou	L	1.964561999997386	Fischer	-95
160	23	*VVV*	left	R	1.4141622000024654	Allee	33
160	24	*EEE*	left	N	3.941281799998251	Getränk	9
160	25	*nnn*	nosou	N	1.4131191999986186	Schädel	-95
160	26	*nnn*	nosou	N	2.1974274999993213	Erde	-95
160	27	*nnn*	nosou	L	2.509165800001938	Blüte	-95
160	28	*nnn*	nosou	N	2.332004500000039	Doktor	-95
160	29	*VVV*	right	R	0.940497100000357	Mönch	68
160	30	*VVV*	right	L	1.8053088000015123	Strand	60
160	31	*nnn*	nosou	N	2.6119502000001376	Wohnung	-95
160	32	*nnn*	nosou	N	1.4599898000014946	Sturm	-95
160	33	*nnn*	nosou	N	2.8758483000019623	Larve	-95
160	34	*nnn*	nosou	N	2.325906699999905	Hotel	-95
160	35	*EEE*	right	L	2.2213183999992907	Wasser	73
160	36	*nnn*	nosou	N	1.2849013000013656	Butter	-95
160	37	*nnn*	nosou	N	4.596286799998779	Katze	-95
160	38	*EEE*	right	R	1.2293362999989768	Metall	64
160	39	*VVV*	right	L	1.1003406999989238	Nonne	66
160	40	*nnn*	nosou	N	1.7902929999982007	Kinn	-95
160	41	*EEE*	left	R	1.884813299999223	Gelenk	7
160	42	*nnn*	nosou	N	2.6852409999992233	Schlamm	-95
160	43	*EEE*	right	N	1.050653300000704	Toast	17
160	44	*EEE*	left	L	2.477088999999978	Fuchs	38
160	45	*VVV*	left	N	1.3572886000001745	Brief	30
160	46	*EEE*	right	R	1.397078000001784	Pferd	19
160	47	*VVV*	left	N	1.549505599999975	Berg	49
160	48	*EEE*	left	L	1.2292145999999775	Flasche	47
160	49	*VVV*	right	R	0.9333688999977312	Dichter	29
160	50	*VVV*	left	N	2.8450268999986292	Körper	61
160	51	*VVV*	right	N	1.2059833999992406	Sessel	56
160	52	*EEE*	right	L	5.221625700000004	Neffe	2
160	53	*nnn*	nosou	N	2.6613067999969644	Fahne	-95
160	54	*EEE*	left	L	1.85318929999994	Mutter	40
160	55	*nnn*	nosou	N	5.773206699999719	Nektar	-95
160	56	*nnn*	nosou	N	1.2458013000032224	Ecke	-95
160	57	*EEE*	right	N	1.1581098999995447	Haut	13
160	58	*VVV*	left	R	1.9180230999991181	Raupe	20
160	59	*EEE*	left	N	3.2372364999973797	Maler	70
160	60	*nnn*	nosou	R	4.174287300000287	Papier	-95
160	61	*VVV*	left	L	7.28513479999674	Küche	69
160	62	*EEE*	left	N	1.7549279000013485	Ofen	8
160	63	*nnn*	nosou	N	1.5495807000006607	Pudding	-95
160	64	*nnn*	nosou	N	1.2293475000005856	Panzer	-95
160	65	*VVV*	left	N	1.3812386999998125	Orkan	43
160	66	*nnn*	nosou	N	2.141459599999507	Grab	-95
160	67	*VVV*	right	R	1.9651582000005874	Wiege	62
160	68	*nnn*	nosou	N	1.118187800002488	Gemüse	-95
160	69	*nnn*	nosou	N	1.6778990000020713	Schüler	-95
160	70	*EEE*	left	N	5.0940518000024895	Stirn	57
160	71	*nnn*	nosou	N	1.5252115999974194	Stange	-95
160	72	*EEE*	right	R	2.0587527999996382	Zeitung	44
160	73	*nnn*	nosou	L	1.317312999999558	Meer	-95
160	74	*nnn*	nosou	N	7.950086000000738	Salat	-95
160	75	*nnn*	nosou	R	1.589606500001537	Wald	-95
160	76	*EEE*	left	R	2.0057211999992433	Fluss	32
160	77	*nnn*	nosou	N	4.036883799999487	Ehefrau	-95
160	78	*nnn*	nosou	N	0.909316299999773	Bettler	-95
160	79	*nnn*	nosou	N	0.7975340000011784	Redner	-95
160	80	*nnn*	nosou	R	2.525522899999487	Abgrund	-95
160	81	*VVV*	left	L	1.55735889999778	Diener	27
160	82	*EEE*	left	L	1.8853538999974262	Tinte	25
160	83	*EEE*	right	L	1.4932836999978463	Hammer	55
160	84	*VVV*	right	R	1.6189250000024913	Junge	36
160	85	*nnn*	nosou	N	3.8938428000001295	Gift	-95
160	86	*nnn*	nosou	N	1.789901899999677	Gras	-95
160	87	*nnn*	nosou	R	2.110575200000312	Auto	-95
160	88	*nnn*	nosou	R	1.7003571999994165	Staub	-95
160	89	*EEE*	right	R	3.5095754000030865	Hütte	39
160	90	*nnn*	nosou	N	1.627236799999082	Zucker	-95
160	91	*VVV*	right	L	2.1092712999998184	Wiese	5
160	92	*VVV*	right	R	1.7103830000014568	Kalk	12
160	93	*VVV*	right	L	10.637405800000124	Schiff	15
160	94	*VVV*	right	R	1.197523099999671	Möbel	75
160	95	*nnn*	nosou	N	1.5339906999979576	Gold	-95
160	96	*VVV*	right	L	2.9580139000026975	Luft	45
160	97	*VVV*	left	L	2.197711699998763	Schmied	28
160	98	*nnn*	nosou	R	3.237537199998769	Auspuff	-95
160	99	*nnn*	nosou	N	1.8045935000009194	Frosch	-95
160	100	*VVV*	right	R	1.4691951999993762	Pfeife	79
160	101	*nnn*	nosou	N	7.661312100000941	Richter	-95
160	102	*nnn*	nosou	N	1.53368120000232	Geld	-95
160	103	*nnn*	nosou	R	2.8535751000017626	Nagel	-95
160	104	*nnn*	nosou	L	2.5017673000002105	Klavier	-95
160	105	*EEE*	right	R	0.9813720999991347	Schaum	72
160	106	*nnn*	nosou	N	1.685742300000129	Blut	-95
160	107	*VVV*	right	L	2.421184599999833	Bankier	6
