"Subject","Gruppe","Trial","item_type","color","source","recog","ONTest.RT","RKResponse","RKTest.RT","tag","ori_assign","assign","SMTest.RT","testword","Age","Group","SessionDate","SessionStartDateTimeUtc","SessionTime","Sex","studies","Block","Blocklist","Blocklist.Cycle","Blocklist.Sample","Procedure[Block]","Running[Block]","Strategieabfrage.ACC","Strategieabfrage.CRESP","Strategieabfrage.DurationError","Strategieabfrage.OnsetDelay","Strategieabfrage.OnsetTime","Strategieabfrage.OnsetToOnsetTime","Strategieabfrage.RESP","Strategieabfrage.RT","Strategieabfrage.RTTime","fontsize","ListTest.Resp","onleft","onright","ONTest.Resp","pos","position","rkleft","rkright","Running[Trial]","StudyList1","StudyList1.Cycle","StudyList1.Sample","TestList","TestList.Cycle","TestList.Sample","UebungMemCue","used"
1,"IN",1,"distractor","new","nosou","new",4383,"new",0,"N","N","N",0,"Junge",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,1,1,1,NA,1
1,"IN",2,"R item","cyan","top","old",2332,"remember",1583,"R","C","T",10559,"Frosch",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,2,1,2,NA,1
1,"IN",3,"distractor","new","nosou","new",2567,"new",1583,"N","N","N",10559,"Eisen",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,3,1,3,NA,1
1,"IN",4,"F item","cyan","top","old",2900,"know",3553,"F","Y","B",4812,"Räuber",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,4,1,4,NA,1
1,"IN",5,"R item","cyan","top","old",2639,"remember",1734,"R","Y","B",5425,"Garten",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,5,1,5,NA,1
1,"IN",6,"F item","cyan","top","new",2196,"new",1734,"N","N","N",5425,"Altar",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,6,1,6,NA,1
1,"IN",7,"R item","cyan","top","old",2311,"remember",739,"R","Y","B",4358,"Dampf",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,7,1,7,NA,1
1,"IN",8,"distractor","new","nosou","new",1387,"new",739,"N","N","N",4358,"Kalk",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,8,1,8,NA,1
1,"IN",9,"R item","cyan","top","old",1390,"remember",1007,"R","C","T",4327,"Schmied",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,9,1,9,NA,1
1,"IN",10,"R item","cyan","top","old",1558,"remember",879,"R","Y","B",4827,"Butter",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,10,1,10,NA,1
1,"IN",11,"F item","yellow","bottom","old",6718,"remember",2875,"F","Y","B",4633,"Gehirn",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,11,1,11,NA,1
1,"IN",12,"distractor","new","nosou","new",2828,"new",2875,"N","N","N",4633,"Schüler",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,12,1,12,NA,1
1,"IN",13,"F item","yellow","bottom","old",5934,"know",2419,"F","Y","B",1499,"Gold",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,13,1,13,NA,1
1,"IN",14,"R item","cyan","top","old",1490,"remember",478,"R","C","T",2371,"Gelenk",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,14,1,14,NA,1
1,"IN",15,"R item","cyan","top","old",1631,"remember",302,"R","C","T",4242,"Geld",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,15,1,15,NA,1
1,"IN",16,"F item","cyan","top","old",5348,"know",416,"F","C","T",4272,"Papier",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,16,1,16,NA,1
1,"IN",17,"distractor","new","nosou","new",1376,"new",416,"N","N","N",4272,"Staub",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,17,1,17,NA,1
1,"IN",18,"distractor","new","nosou","new",924,"new",416,"N","N","N",4272,"Abgrund",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,18,1,18,NA,1
1,"IN",19,"R item","cyan","top","old",1202,"remember",451,"R","C","T",6040,"Hütte",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,19,1,19,NA,1
1,"IN",20,"distractor","new","nosou","new",2323,"new",451,"N","N","N",6040,"Sessel",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,20,1,20,NA,1
1,"IN",21,"R item","yellow","bottom","old",1065,"remember",231,"R","C","T",3693,"Sklave",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,21,1,21,NA,1
1,"IN",22,"F item","cyan","top","old",7197,"know",504,"F","C","T",1068,"Tinte",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,22,1,22,NA,1
1,"IN",23,"F item","cyan","top","old",3308,"remember",3057,"F","Y","B",6590,"Plakat",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,23,1,23,NA,1
1,"IN",24,"F item","cyan","top","old",4755,"remember",406,"F","C","T",4646,"Apfel",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,24,1,24,NA,1
1,"IN",25,"R item","yellow","bottom","new",1376,"new",406,"N","N","N",4646,"Brett",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,25,1,25,NA,1
1,"IN",26,"R item","cyan","top","old",1476,"remember",281,"R","C","T",2414,"Kneipe",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,26,1,26,NA,1
1,"IN",27,"R item","yellow","bottom","old",3889,"remember",494,"R","C","T",3642,"Gras",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,27,1,27,NA,1
1,"IN",28,"F item","cyan","top","old",1940,"know",1094,"F","Y","B",5075,"Lerche",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,28,1,28,NA,1
1,"IN",29,"F item","cyan","top","old",4740,"know",463,"F","C","T",1093,"Hammer",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,29,1,29,NA,1
1,"IN",30,"F item","cyan","top","new",1276,"new",463,"N","N","N",1093,"Bankier",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,30,1,30,NA,1
1,"IN",31,"distractor","new","nosou","new",2444,"new",463,"N","N","N",1093,"Kugel",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,31,1,31,NA,1
1,"IN",32,"R item","yellow","bottom","old",1286,"remember",411,"R","Y","B",2810,"Neffe",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,32,1,32,NA,1
1,"IN",33,"F item","cyan","top","old",3236,"know",755,"F","Y","B",2485,"Elefant",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,33,1,33,NA,1
1,"IN",34,"R item","cyan","top","old",1653,"remember",723,"R","C","T",2374,"Stein",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,34,1,34,NA,1
1,"IN",35,"distractor","new","nosou","new",3219,"new",723,"N","N","N",2374,"Keller",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,35,1,35,NA,1
1,"IN",36,"distractor","new","nosou","old",8789,"know",376,"F","C","T",1041,"Klippe",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,36,1,36,NA,1
1,"IN",37,"distractor","new","nosou","new",930,"new",376,"N","N","N",1041,"Strand",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,37,1,37,NA,1
1,"IN",38,"distractor","new","nosou","new",712,"new",376,"N","N","N",1041,"Hotel",21,1,2019-07-10,"10.07.2019 07:03:00",1899-12-31 09:03:00,"männlich","Anderes",4,4,1,4,"testphaseIn","Blocklist",0,NA,-999999,28,1504780,0,"n",14044,1518824,NA,NA,"Alt","Neu",NA,NA,NA,"lebhafte Erinnerung","Gefühl der Vertrautheit","TestList",NA,NA,NA,38,1,38,NA,1
