"id","strategy2"
1,"Die Worte, die mit EEE gekennzeichnet waren, habe ich in eine Geschichte eingewebt. Die VVV-Wörter kamen in der Geschichte nicht vor."
2,"nicht in den gedächtnispalast / -geschichte"
5,"Ich habe versucht mir die Worte nur flüchtig zu merken und sobald EEE erschien das Wort wiederholt, eingebunden in einen Kontext. Bei den VVV Wörtern habe ich das nicht gemacht"
6,"Ich habe mit den EEE Wörtern eine Geschichte erfunden. (Die Leiche eines Koalas, der unter der Erde begraben liegt, seine Ehefrau war Pianistin, eine Kneipe namens Vulkan dampft,...)"
7,"Ich habe mir  die Farbe ""Blau"" nach jedem ""VVV"" vorgestellt und mit den Wörtern, die EEE hatten, habe ich verschiedenen Geschichten ausgedacht"
11,"Ich habe nur die EEE-Wörter versucht in ein Gesamtbild einzuordnen und mir dieses zu merken"
16,"Ich habe mir ein Bild im Kopf zusammengesetzt, in welchem alle Begriffe irgendwie verarbeitet waren. Z.B. saß bei mir ein Koala, dessen Gehirn sichtbar war und dessen Schädel daneben lag, auf einem Rathausdach, malte mit einer Hand ein Bild und aß mit der anderen Haferflocken. Im Hintergrund war ein nackter Mönch (Haut) der in einem Ofen ein Insekt backte und in einem schleimigen Sumpf stand. Daneben stand ein Alter. Zwischen Koala und Mönch befand sich ein Tisch (Möbel) mit einem Stuhl auf der Seite, auf dem ein Krokodil (Reptil) saß, dem Schleim aus dem Maul tropfte und das dabei Zeitung las. Unter dem Tisch lag eine Leiche, die vergiftet wurde und mit einem Metallbarren beschwert wurde. usw... Ich hab diese absurde Szene in meinem Kopf immer weiter ausgebaut bis alle EEE Begriffe verarbeitet waren und habe gleichzeitig die Zeit, in der VVV Begriffe kamen, genutzt, um die Szene in meinem Kopf immer wieder von vorne zu wiederholen. Eigentlich war das eine Erinnerungsstrategie für die EEE Wörter, aber so konnte ich mir per Ausschluss auch die VVV-Wörter als ""zu vergessen"" ""einprägen"", weshalb ich bei vorheriger Frage mit ""ja"" geantwortet habe."
17,"Ich habe sie nicht im Kopf wiederholt"
18,"leicht den Kopf geschüttelt"
23,"wegschauen und zuvor gemerktes Wort (*EEE) weiter im Kopf vor mich hin sagen"
24,"Ich habe mir in der Zeit, wo das ""VVV"" abgebildet wurde, das letzte ""EEE"" -Wort im Kopf wiederholt, wobei ich es abstrakt formuliert habe."
25,"Sofortiges Wegschauen vom Bildschirm"
26,"Ich habe mir eine Geschichte mit nur den EEE-Wörtern ausgedacht und probiert diese zu behalten."
27,"Wörter nach Erscheinen der Instruktion nicht verbal mehrmals wiederholt + Augen vom Bildschirm abgewandt"
28,"vorher das Wort nicht im Kopf ""aufsagen"" um es möglichst nicht im Gehirn abzuspeichern bevor ich weiß, ob ich es mir merken muss oder nicht, wenn VVV, dann wegschauen und vorherige EEE Wörter im Kopf aufsagen"
29,"Versucht, nicht weiter zu beachten/darüber nachzudenken."
30,"ich habe die Wörter nicht mehr laut im Kopf gesagt"
31,"Ich habe an das Vorherige ""EEE""-Wort gedacht."
32,"Weggeguckt und Erinnern-Wörter wiederholt"
33,"ich habe weggeschaut von der Stelle, an der sie geziegt wurden und versucht, die *EEE*-Wörter mental zu wiederholen"
35,"ich habe versucht schnell wegzuschauen"
36,"ich habe mir veruscht zusammenhänge zwischen den EEE wörter zu machen durch bildliche sätze (Die Person sitz auf dem Pferd das hafer isst)"
37,"Ich habe die *EEE* Wörter wiederholt, während nachdem ich das *VVV* gesehen habe, um mir die anderen Begrifflichkeiten einzuprägen. Funktioniert nur  am Anfang oder nicht nich mit zu langen Wortkonstrukten."
38,"Ich habe mir mental einen Ort vorgestellt und immer erst, wenn EEE erschien den Begriff darin platziert."
39,"vom Bildschirm wegschauen, Blick woanders hin"
40,"denken an die letzten Wörter, die wir merken sollen"
41,"Ich habe alle Wörter mit ""EEE"" so lange in meinem Kopf wiederholt, bis ein neues Wort mit ""EEE"" kam. So habe ich meinen Kopf sozusagen mit dem Wort zum Lernen belegt, um das ""VVV""-Wort nicht aufzunehmen."
42,"Ich bin die EEE-Wörter immer wieder im Kopf durchgegangen und habe mir versucht eine Geschichte aus den Wörtern zusammenzubauen. Die VVV Wörter habe ich weitestgehend ignoriert und an das letze EEE-Wort gedacht."
44,"Direkt nach erscheinen des VVV weggeschaut"
45,"Eine Fotografie mit einem Geschehniss mit den EEE Wörtern angefertigt und alle VVV Wörter wurden nicht in das Bild integriert."
46,"Mit den Fingern die ""EEE""-Wörter aufzählen"
47,"Mit *EEE*-Wörtern ""drüber gedacht"" im Kopf (wie bei einem lauten Echo)"
49,"Affirmation, dass das Wort irrelevant ist. Anschließend die gemerkten Wörter innerlich gesprochen und Bilder dazu erfunden"
51,"Ich habe zum Erinnern der *EEE*-Wörter eine Strategie angewandt. Ich habe versucht diese Wörter in Verbindung zu bringen und mir dazu eine Geschichte bildlich vorzustellen."
53,"Weggeschaut und an vorherige *EEE*-Wörter gedacht."
54,"wegschauen + darüber hinaus habe ich für die EEE-Wörter eine Merkstrategie angewandt (Geschichte entwickeln)"
55,"habe im Gegensatz zu den mit EEE gekennzeichneten Worten versucht den Abruf von Assoziationen so scchnell wie möglich zu beenden und den Blick an einen anderen Bereich des Bildschirms gelenkt"
56,"Ich habe die EEE Wörter in meinem Kopf in ein Narrativ eingebaut, die VVV Wörter dabei ignoriert und stattdessen die vorhergegangenen EEE Wörter wiederholt"
57,"ich hab mir die wörter sehr kurz oder fast gar nicht angeschaut"
58,"Ein inneres mentales Bild; sowas wie den Begriff in den Mülleimer werfen"
59,"Ich habe mir die Wörter, an die ich mich erinnern wollte in ein bildliches Konstrukt eingebaut (Bsp. Koala sitzt am Strand, man sieht seinen Zahn, er sitzt direkt an der verschmutzten Küste,...). Alle Wörter, die ich vergessen wollte, habe ich nicht in dieses bildliche Gerüst eingefügt."
60,"Versuch die Wörter mehrmals zu wiederholen, gelang jedoch nur anfangs"
61,"EEE Wörter im Kopf wiederholt/Geschichte ausgedacht. VVV nicht"
62,"Ich habe ganz stark an die anderen, vorherigen Worte mit EEE gedacht"
64,"Zunächst nur kurz das Wort einmal angeschaut + gelesen, nur wenn nach dem Wort ein EEE folgte, habe ich versucht, mir dieses durch Wiederholungen im Kopf oder leise vor mich hin zu verinnerlichen."
