"id","trial_no","item_type","ori_source","source","moni_response","assign","rt_moni","word","study_pos","age","gender","occupation","strategy1","strategy2"
101,1,"distractor","nosou","nosou","N","N",1.2000151000002,"Wolle",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,2,"R item","right","bottom","N","N",1.13249180000003,"Kalk",30,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,3,"distractor","nosou","nosou","N","N",0.94124759999977,"Sessel",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,4,"R item","left","top","N","N",0.739684900000157,"Mutter",49,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,5,"F item","right","bottom","N","N",0.660401300000103,"Becher",68,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,6,"F item","left","top","N","N",0.62914180000007,"Ecke",35,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,7,"distractor","nosou","nosou","N","N",0.587877199999639,"Zeitung",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,8,"distractor","nosou","nosou","N","N",0.579720500000349,"Hektar",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,9,"distractor","nosou","nosou","N","N",0.597682900000109,"Sauna",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,10,"R item","right","bottom","N","N",0.732197100000121,"Harfe",33,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,11,"R item","right","bottom","N","N",1.69227509999973,"Allee",15,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,12,"distractor","nosou","nosou","N","N",0.614055999999891,"Maler",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,13,"F item","right","bottom","N","N",0.806482299999971,"Moor",64,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,14,"distractor","nosou","nosou","N","N",0.731197099999918,"Nässe",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,15,"R item","right","bottom","N","N",0.72401630000013,"Insekt",24,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,16,"distractor","nosou","nosou","N","N",0.765546000000086,"Nagel",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,17,"distractor","nosou","nosou","N","N",0.92387749999989,"Larve",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,18,"distractor","nosou","nosou","N","N",0.908014099999946,"Pelz",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,19,"R item","left","top","N","N",0.741316499999812,"Halle",32,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,20,"distractor","nosou","nosou","N","N",1.32447550000006,"Vogel",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,21,"R item","left","top","L","T",1.74060689999988,"Strand",71,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,22,"R item","left","top","R","B",1.56548819999989,"Panzer",63,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,23,"distractor","nosou","nosou","N","N",1.74248289999969,"Meer",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,24,"F item","left","top","L","T",1.2521013999999,"Klippe",76,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,25,"distractor","nosou","nosou","N","N",1.10035500000004,"Richter",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,26,"distractor","nosou","nosou","N","N",0.805779100000109,"Bankier",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,27,"distractor","nosou","nosou","N","N",0.692206799999894,"Dozent",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
