id,item_type,source,resp,n
101,distractor,N,A,1
101,distractor,N,B,0
101,distractor,N,N,79
101,F item,A,A,1
101,F item,A,B,2
101,F item,A,N,17
101,F item,B,A,1
101,F item,B,B,4
101,F item,B,N,15
101,R item,A,A,6
101,R item,A,B,2
101,R item,A,N,12
101,R item,B,A,4
101,R item,B,B,4
101,R item,B,N,12
102,distractor,N,A,18
102,distractor,N,B,13
102,distractor,N,N,49
102,F item,A,A,8
102,F item,A,B,5
102,F item,A,N,7
102,F item,B,A,8
102,F item,B,B,8
102,F item,B,N,4
102,R item,A,A,7
102,R item,A,B,4
102,R item,A,N,9
102,R item,B,A,6
102,R item,B,B,8
102,R item,B,N,6
103,distractor,N,A,16
103,distractor,N,B,9
103,distractor,N,N,55
103,F item,A,A,10
103,F item,A,B,8
103,F item,A,N,2
103,F item,B,A,7
103,F item,B,B,9
103,F item,B,N,4
103,R item,A,A,8
103,R item,A,B,11
103,R item,A,N,1
103,R item,B,A,9
103,R item,B,B,11
103,R item,B,N,0
104,distractor,N,A,5
104,distractor,N,B,2
104,distractor,N,N,73
104,F item,A,A,3
104,F item,A,B,4
104,F item,A,N,13
104,F item,B,A,0
104,F item,B,B,4
104,F item,B,N,16
104,R item,A,A,9
104,R item,A,B,6
104,R item,A,N,5
104,R item,B,A,4
104,R item,B,B,10
104,R item,B,N,6
105,distractor,N,A,0
105,distractor,N,B,1
105,distractor,N,N,79
105,F item,A,A,7
105,F item,A,B,2
105,F item,A,N,11
105,F item,B,A,1
105,F item,B,B,6
105,F item,B,N,13
105,R item,A,A,11
105,R item,A,B,1
105,R item,A,N,8
105,R item,B,A,8
105,R item,B,B,5
105,R item,B,N,7
106,distractor,N,A,0
106,distractor,N,B,0
106,distractor,N,N,80
106,F item,A,A,1
106,F item,A,B,0
106,F item,A,N,19
106,F item,B,A,1
106,F item,B,B,0
106,F item,B,N,19
106,R item,A,A,11
106,R item,A,B,4
106,R item,A,N,5
106,R item,B,A,5
106,R item,B,B,7
106,R item,B,N,8
107,distractor,N,A,0
107,distractor,N,B,2
107,distractor,N,N,78
107,F item,A,A,2
107,F item,A,B,5
107,F item,A,N,13
107,F item,B,A,2
107,F item,B,B,4
107,F item,B,N,14
107,R item,A,A,8
